iso_a3,wgt,more_selfish,more_criminal,gov_should_reduce_inequality,inequality_unfair,WP1219,WP1220,WP3117,income_2,WP14
EGY,1.3870160744175823,NA,1,5,5,2,35,1,25412.442908244102,2
EGY,0.7810645960278166,NA,NA,4,5,2,29,3,14823.92502980906,2
EGY,0.35820654914071587,4,NA,5,5,2,57,1,8470.814302748035,2
EGY,1.5741809333324526,NA,NA,4,4,1,24,2,12706.221454122051,2
EGY,0.8153091136386151,NA,5,5,5,1,39,2,10588.517878435043,6
EGY,0.8153091136386151,NA,NA,5,5,1,33,2,6353.1107270610255,6
EGY,1.0815774452021913,NA,5,5,5,1,63,3,27530.146483931112,2
EGY,0.5407887226010957,NA,NA,5,5,1,60,3,17788.710035770873,6
EGY,0.9142360582154846,NA,NA,5,5,2,42,1,4235.407151374017,2
EGY,0.9142360582154846,NA,NA,5,NA,2,42,1,4235.407151374017,2
EGY,1.2633554987548252,1,NA,5,5,1,54,2,10588.517878435043,6
EGY,0.5983030892606118,NA,5,5,5,1,38,1,6776.6514421984275,6
EGY,1.8246723924424892,5,NA,5,5,2,24,2,6353.1107270610255,6
EGY,0.3582065491086283,NA,3,5,5,1,60,1,1355.3302884396855,2
EGY,1.3476797258078281,NA,3,5,5,1,18,2,21177.035756870086,6
EGY,0.35820654914071587,NA,NA,5,5,2,59,1,5082.48858164882,6
EGY,1.049453955554969,NA,2,4,5,1,18,2,7623.732872473231,2
EGY,1.049453955554969,5,4,5,4,1,27,2,3388.3257210992138,2
EGY,1.0746196474221479,2,NA,5,5,2,65,1,14823.92502980906,3
EGY,1.8900902678497293,NA,NA,5,5,2,38,2,8047.273587610633,2
EGY,0.8153091136386151,5,NA,5,1,1,30,2,4235.407151374017,2
EGY,0.5332875555174195,NA,4,5,5,2,42,3,10588.517878435043,2
EGY,0.8422369991698837,NA,4,4,4,1,70,2,19059.332181183076,3
EGY,0.6180637381128157,NA,NA,5,5,1,65,1,8470.814302748035,3
EGY,0.5983030892606118,5,NA,5,5,1,32,1,5082.48858164882,2
EGY,1.5621291920556333,NA,NA,5,5,2,24,3,21177.035756870086,3
EGY,0.6094907054769899,NA,NA,5,5,2,40,1,6353.1107270610255,2
